Year,Number,Ruolo Gen. Nr.,Oggetto,Giudice,Valore della causa,Stato del fascicolo,Data di Citazione 1° udienza,SENTENZA DEFINITIVA Nr.,Esito,Importo liquidato,Tipo,DECRETO INGIUNTIVO Nr.,SENTENZA NON DEFINITIVA Nr.,Rif. atto impugnato,Importo richiesto,Prossima udienza
1995,11,11/1995 iscritto al  ruolo il 11/05/1995,OR - 709999 - Altri atti amministrativi,PESATO  ADRIANO  sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,5/7/1995,,,,,,,,,
1995,12,12/1995  iscritto al  ruolo il 12/05/1995,OR - 709999 - Altri atti  amministrativi,PERRICONE LUDOVICO  sezione: 1 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,11/7/1995,,,,,,,,,
1995,13,13/1995 iscritto al ruolo  il 12/05/1995,OR - 140999 - Altri contratti tipici ed obbligazioni non rientranti nelle  altre materie,LUCA GIOVANNI  sezione: 6 aula: -,"Euro  0,00",CANCELLATO,21/06/1995,,,,,,,,,
1995,14,14/1995  iscritto  al  ruolo il 17/05/1995,OR - 709999 - Altri atti amministrativi,AMENDOLA ENRICO  sezione: 1 aula: 2 - B10,"Euro 0,00",PROCEDIMENTO DEFINITO,17/05/1995,,,,,,,,,
1995,15,15/1995 iscritto  al  ruolo il 18/05/1995,CO - 710001 - Istanza  di Conciliazione,DE TOMA  MAGDA sezione: 6 aula: 2 - D17,"Euro  0,00",CONCILIATO,21/07/1995,,,,,,,,,
1995,16,16/1995 iscritto  al  ruolo il 18/05/1995,OR - 145999 - Altre  ipotesi  di responsabilita' Extracontr.  non ricomprese nelle  altre  materie  (art. 2043),GALLI ALESSANDRA sezione: 6 aula: -,"Euro  0,00",PROCEDIMENTO DEFINITO,20/06/1995,,,,,,,,,
1995,17,17/1995 iscritto al ruolo  il 18/05/1995,OR - 709999 - Altri  atti amministrativi,ESCARD EDOARDO sezione: 7 aula: 1 - B4,"Euro 0,00",PROCEDIMENTO DEFINITO,10/7/1995,,,,,,,,,
1995,18,18/1995  iscritto al ruolo il 19/05/1995,OR - 145999 - Altre ipotesi di  responsabilita' Extracontr. non  ricomprese nelle altre materie (art.  2043),MONTALTO UGO LUIGI sezione: 4 aula: -,"Euro 0,00",CANCELLATO,28/07/1995,,,,,,,,,
1995,19,19/1995 iscritto al  ruolo il 19/05/1995,OR - 709999 - Altri atti amministrativi,BRACCO GIOVANNI sezione: 2 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,12/7/1995,,,,,,,,,
1995,20,20/1995  iscritto al ruolo il 19/05/1995,OR - 709999 - Altri atti amministrativi,BONELLI  MATELDA sezione: 1 aula: 2 - B10,"Euro 0,00",PROCEDIMENTO DEFINITO,12/7/1995,,,,,,,,,
1995,21,21/1995 iscritto al ruolo il 20/05/1995,OR - 709999 - Altri  atti amministrativi,CENTELEGHE  BORTOLO sezione: 1 aula: 2 - B4,"Euro  0,00",PROCEDIMENTO DEFINITO,3/7/1995,,,,,,,,,
1995,22,22/1995 iscritto al ruolo  il 20/05/1995,OR - 709999 - Altri atti amministrativi,CATALDI MARIANGELA sezione: 1 aula: 2 - B11,"Euro 0,00",PROCEDIMENTO  DEFINITO,7/7/1995,,,,,,,,,
1995,23,23/1995 iscritto al ruolo il 20/05/1995,OR - 709999 - Altri atti  amministrativi,CATALDI MARIANGELA sezione: 6 aula: 2 - B11,"Euro 0,00",CANCELLATO,7/7/1995,,,,,,,,,
1995,24,24/1995 iscritto  al ruolo il 20/05/1995,OR - 709999 - Altri atti amministrativi,CATALDI  MARIANGELA  sezione: 1 aula: 2 - B11,"Euro 0,00",PROCEDIMENTO DEFINITO,7/7/1995,,,,,,,,,
1995,25,25/1995 iscritto al  ruolo il 22/05/1995,CO - 710001 - Istanza di Conciliazione,GURRISI SALVATORE  sezione: 6 aula: -,"Euro 0,00",CONCILIATO,4/7/1995,,,,,,,,,
1995,26,26/1995 iscritto al  ruolo il 22/05/1995,OR - 709999 - Altri  atti  amministrativi,CIAVORELLA  GUGLIELMO  sezione: 1 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,10/7/1995,,,,,,,,,
1995,27,27/1995  iscritto al ruolo il 22/05/1995,OR - 709999 - Altri atti  amministrativi,LUCA GIOVANNI sezione: 6 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,9/6/1995,,,,,,,,,
1995,28,28/1995 iscritto al  ruolo il 23/05/1995,OR - 145999 - Altre ipotesi di responsabilita' Extracontr. non  ricomprese nelle altre  materie (art.  2043),ANTRO ANDREA MARIA  sezione: 6 aula: -,"Euro  0,00",PROCEDIMENTO DEFINITO,3/7/1995,21/1995 pubblicata il 24/07/1995,Sentenza di merito/Rigetto,,,,,,,
1995,29,29/1995  iscritto al ruolo il 23/05/1995,OR - 145999 - Altre ipotesi di responsabilita' Extracontr. non ricomprese nelle altre materie (art. 2043),DELLA CROCE DI  DOJOLA VITTORIO sezione: 3 aula: -,"Euro  0,00",CANCELLATO,4/7/1995,,,,,,,,,
1995,30,30/1995 iscritto al ruolo il 23/05/1995,OR - 709999 - Altri atti amministrativi,LANZILLO LUCIANO  sezione: 1 aula: 2 - B13,"Euro  0,00",PROCEDIMENTO DEFINITO,14/07/1995,,,,,,,,,
1995,31,31/1995 iscritto al ruolo  il 24/05/1995,OR - 709999 - Altri atti amministrativi,MURANTE MICHELE sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,12/7/1995,,,,,,,,,
1995,32,32/1995  iscritto  al ruolo  il 24/05/1995,CO - 710001 - Istanza di Conciliazione,BATTAGLIA  ROSA sezione: 6 aula: 2 - D13,"Euro 0,00",CONCILIATO,13/07/1995,,,,,,,,,
1995,33,33/1995  iscritto al ruolo il 25/05/1995,OR - 145999 - Altre ipotesi di responsabilita' Extracontr. non ricomprese  nelle altre  materie (art. 2043),FACCI ALDO sezione: 3 aula: 2 - C22,"Euro 0,00",CANCELLATO,14/07/1995,,,,,,,,,
1995,34,34/1995 iscritto al ruolo il 25/05/1995,OR - 145999 - Altre  ipotesi di responsabilita' Extracontr. non  ricomprese  nelle altre materie (art. 2043),FALCHI CATERINA  sezione: 3 aula: 3 - A22,"Euro 0,00",PROCEDIMENTO DEFINITO,10/7/1995,,,,,,,,,
1995,35,35/1995 iscritto al ruolo il 25/05/1995,OR - 145999 - Altre ipotesi di responsabilita' Extracontr. non ricomprese  nelle  altre materie (art. 2043),FALCHI CATERINA sezione: 3 aula: 3 - A22,"Euro 0,00",CANCELLATO,26/06/1995,,,,,,,,,
1995,36,36/1995  iscritto al ruolo  il 25/05/1995,OR - 709999 - Altri  atti amministrativi,PERRICONE  LUDOVICO sezione: 1 aula: -,"Euro 0,00",PROCEDIMENTO  DEFINITO,11/7/1995,,,,,,,,,
1995,37,37/1995 iscritto  al ruolo il 26/05/1995,OR - 709999 - Altri atti amministrativi,PESATO ADRIANO  sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,12/7/1995,,,,,,,,,
1995,38,38/1995 iscritto al ruolo il 26/05/1995,OR - 709999 - Altri  atti amministrativi,PESATO ADRIANO sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,12/7/1995,,,,,,,,,
1995,39,39/1995 iscritto al ruolo il 26/05/1995,OR - 709999 - Altri atti amministrativi,PISANTI GENNARO sezione: 1 aula: PENALE,"Euro 0,00",PROCEDIMENTO DEFINITO,20/07/1995,,,,,,,,,
1995,40,40/1995 iscritto al ruolo il 26/05/1995,OR - 140999 - Altri contratti  tipici  ed  obbligazioni non rientranti nelle altre  materie,BOCCALATTE MARZIANO sezione: 6 aula: -,"Euro 0,00",CANCELLATO,10/7/1995,,,,,,,,,
1995,41,41/1995  iscritto al ruolo il 26/05/1995,OR - 140999 - Altri  contratti tipici ed obbligazioni non rientranti nelle altre  materie,BOUVET MICHELE sezione: 6 aula: -,"Euro  0,00",PROCEDIMENTO DEFINITO,4/7/1995,,,,,,,,,
1995,42,42/1995 iscritto al  ruolo il 26/05/1995,OR - 140999 - Altri  contratti  tipici ed obbligazioni non rientranti nelle altre materie,CALIGARIS  LUIGI  sezione: 6 aula: 2 - D17,"Euro 0,00",CANCELLATO,5/7/1995,,,,,,,,,
1995,43,43/1995 iscritto al  ruolo  il 26/05/1995,OR - 709999 - Altri atti  amministrativi,SILVESTRI VINCENZO  sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,4/10/1995,,,,,,,,,
1995,44,44/1995 iscritto  al ruolo il 29/05/1995,OR - 709999 - Altri  atti amministrativi,TASSONE RAFFAELE sezione: 1 aula: 2 - B12,"Euro  0,00",PROCEDIMENTO DEFINITO,11/7/1995,,,,,,,,,
1995,45,45/1995 iscritto al ruolo il 29/05/1995,OR - 140999 - Altri contratti  tipici ed obbligazioni  non rientranti nelle  altre materie,CARIDI ANTONINO sezione: 6 aula: 2 - D15,"Euro 0,00",PROCEDIMENTO  DEFINITO,5/10/1995,33/1996 pubblicata il 15/01/1996,Sentenza di merito/Rigetto,,,,,,,
1995,46,46/1995 iscritto al ruolo  il 30/05/1995,OR - 140999 - Altri contratti tipici ed obbligazioni non  rientranti nelle altre materie,CASSIANI INGONI FRANCO  sezione: 6 aula: -,"Euro 0,00",CANCELLATO,29/09/1995,,,,,,,,,
1995,47,47/1995 iscritto al  ruolo il 30/05/1995,OR - 140999 - Altri  contratti tipici ed obbligazioni non rientranti nelle  altre materie,CONSOLI  GAETANO sezione: 6 aula: -,"Euro 0,00",CANCELLATO,2/10/1995,,,,,,,,,
1995,48,48/1995  iscritto al ruolo il 01/06/1995,OR - 145999 - Altre ipotesi di responsabilita'  Extracontr. non  ricomprese nelle altre materie (art. 2043),CORSI ENRICO sezione: 6 aula: -,"Euro 0,00",CANCELLATO,19/09/1995,,,,,,,,,
1995,49,49/1995  iscritto  al ruolo  il 01/06/1995,OR - 145999 - Altre  ipotesi  di responsabilita'  Extracontr. non ricomprese nelle  altre materie (art.  2043),FALCO  ELIANA  sezione: 7 aula: 3 - A21,"Euro 0,00",CANCELLATO,17/10/1995,,,,,,,,,
1995,50,50/1995  iscritto  al  ruolo il 01/06/1995,OR - 145009 - Azioni di competenza del Giudice di Pace in materia di  risarcimento  danno,FANTINI  FRANCO sezione: 1 aula: 2 - B13,"Euro 0,00",CANCELLATO,18/10/1995,,,,,,,,,
1995,51,51/1995 iscritto al ruolo il 01/06/1995,OR - 145009 - Azioni  di competenza  del Giudice di  Pace in materia di risarcimento  danno,FERRARO LAURA  sezione: 3 aula: 3 - C23,"Euro 0,00",PROCEDIMENTO DEFINITO,12/10/1995,,,,,,,,,
1995,52,52/1995 iscritto  al ruolo il 01/06/1995,OR - 145009 - Azioni di  competenza del  Giudice di Pace in  materia di risarcimento danno,GODIO RAUL  sezione: 3 aula: 3 - C26,"Euro 0,00",CANCELLATO,18/10/1995,,,,,,,,,
1995,53,53/1995 iscritto al ruolo il 02/06/1995,OR - 709999 - Altri atti  amministrativi,VITALE  GIOVAMBATTISTA  sezione: 1 aula: 2 - B17,"Euro 0,00",PROCEDIMENTO DEFINITO,24/07/1995,,,,,,,,,
1995,54,54/1995  iscritto al ruolo il 02/06/1995,OR - 140999 - Altri contratti tipici ed  obbligazioni non rientranti nelle  altre materie,BRUNO FRANCO  GIUSEPPE sezione: 6 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,4/10/1995,,,,,,,,,
1995,55,55/1995  iscritto al ruolo  il 02/06/1995,OR - 140999 - Altri  contratti tipici ed obbligazioni non  rientranti nelle altre materie,CORSI FRANCO sezione: 6 aula: 2 - A14,"Euro 0,00",CANCELLATO,25/09/1995,,,,,,,,,
1995,56,56/1995 iscritto al ruolo il 02/06/1995,CO - 710001 - Istanza di  Conciliazione,CORTESE GIORGIO sezione: 6 aula: 2 - D12,"Euro 0,00",CONCILIATO,28/06/1995,,,,,,,,,
1995,57,57/1995 iscritto al ruolo il 02/06/1995,OR - 709999 - Altri atti  amministrativi,AMENDOLA ENRICO  sezione: 1 aula: 2 - B10,"Euro 0,00",PROCEDIMENTO DEFINITO,22/06/1995,,,,,,,,,
1995,58,58/1995  iscritto al ruolo il 02/06/1995,OR - 709999 - Altri atti  amministrativi,AMENDOLA  ENRICO  sezione: 1 aula: 2 - B10,"Euro 0,00",PROCEDIMENTO DEFINITO,22/06/1995,,,,,,,,,
1995,59,59/1995 iscritto al ruolo il 05/06/1995,OR - 709999 - Altri atti amministrativi,BONELLI MATELDA sezione: 1 aula: 2 - B10,"Euro  0,00",PROCEDIMENTO DEFINITO,26/07/1995,,,,,,,,,
1995,60,60/1995  iscritto al ruolo il 05/06/1995,OR - 709999 - Altri atti amministrativi,BRACCO GIOVANNI sezione: 2 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,26/06/1995,,,,,,,,,
1995,61,61/1995  iscritto al ruolo il 05/06/1995,OR - 145009 - Azioni di competenza  del Giudice di  Pace in materia di risarcimento danno,GOTTA FERRUCCIO  sezione: 3,"Euro 0,00",CANCELLATO,16/10/1995,,,,,,,,,
1995,62,62/1995  iscritto al ruolo il 06/06/1995,OR - 140999 - Altri contratti  tipici  ed obbligazioni non rientranti  nelle altre  materie,SACERDOTE  FRANCA sezione: 7 aula: 3 - A25,"Euro 0,00",CANCELLATO,7/7/1995,,,,,,,,,
1995,63,63/1995 iscritto al ruolo  il 06/06/1995,CO - 710001 - Istanza di Conciliazione,TORCHIO CARLO  sezione: 7 aula: 3 - A26,"Euro 0,00",CONCILIATO,12/7/1995,,,,,,,,,
1995,64,64/1995 iscritto al ruolo il 07/06/1995,OR - 709999 - Altri atti amministrativi,CATALDI MARIANGELA  sezione: 1 aula: 2 - B11,"Euro 0,00",PROCEDIMENTO DEFINITO,21/07/1995,,,,,,,,,
1995,65,65/1995 iscritto al  ruolo il 07/06/1995,OR - 709999 - Altri atti amministrativi,CENTELEGHE BORTOLO sezione: 1 aula: 2 - B4,"Euro  0,00",PROCEDIMENTO DEFINITO,24/07/1995,,,,,,,,,
1995,66,66/1995  iscritto al  ruolo il 08/06/1995,OR - 140999 - Altri contratti tipici ed obbligazioni non  rientranti  nelle altre materie,UGONA  ALBERTO  sezione: 7 aula: 1 - A14,"Euro 0,00",CANCELLATO,13/07/1995,,,,,,,,,
1995,67,67/1995  iscritto al ruolo il 08/06/1995,OR - 140999 - Altri contratti  tipici ed obbligazioni non rientranti  nelle altre materie,VITI  LUCIANO  sezione: 7 aula: -,"Euro  0,00",PROCEDIMENTO DEFINITO,11/7/1995,,,,,,,,,
1995,68,68/1995 iscritto  al ruolo il 08/06/1995,OR - 709999 - Altri atti amministrativi,CIAVORELLA GUGLIELMO  sezione: 1 aula: -,"Euro  0,00",PROCEDIMENTO DEFINITO,25/07/1995,,,,,,,,,
1995,69,69/1995 iscritto  al ruolo il 08/06/1995,OR - 709999 - Altri atti  amministrativi,ESCARD EDOARDO  sezione: 7 aula: 1 - B4,"Euro 0,00",PROCEDIMENTO DEFINITO,24/07/1995,,,,,,,,,
1995,70,70/1995  iscritto al  ruolo il 08/06/1995,OR - 145009 - Azioni  di competenza del Giudice di Pace in materia di risarcimento danno,BALDONI MARIO sezione: 3 aula: 3 - C27,"Euro  0,00",PROCEDIMENTO DEFINITO,19/09/1995,,,,,,,,,
1995,71,71/1995 iscritto al  ruolo il 09/06/1995,OR - 145009 - Azioni di competenza del  Giudice  di Pace  in materia di risarcimento  danno,BONACCORSI ELEONORA sezione: 3 aula: 1 - C7,"Euro  0,00",CANCELLATO,24/07/1995,,,,,,,,,
1995,72,72/1995 iscritto al ruolo il 09/06/1995,CO - 710001 - Istanza di Conciliazione,MACCARIO MARIA  GIOVANNA sezione: 7 aula: -,"Euro 0,00",CONCILIATO,13/07/1995,,,,,,,,,
1995,73,73/1995 iscritto  al ruolo  il 09/06/1995,CO - 710001 - Istanza di Conciliazione,MATASSI  MARIO sezione: 7 aula: -,"Euro 0,00",CONCILIATO,10/7/1995,,,,,,,,,
1995,74,74/1995 iscritto  al ruolo il 09/06/1995,OR - 709999 - Altri atti amministrativi,GALLO RICCARDO sezione: 1 aula: 2 -B11,"Euro 0,00",PROCEDIMENTO DEFINITO,25/07/1995,,,,,,,,,
1995,75,75/1995 iscritto al ruolo il 10/06/1995,OR - 709999 - Altri atti amministrativi,LANZILLO LUCIANO sezione: 1 aula: 2 - B13,"Euro 0,00",PROCEDIMENTO DEFINITO,22/09/1995,,,,,,,,,
1995,76,76/1995 iscritto al ruolo  il 12/06/1995,OR - 145009 - Azioni di competenza del  Giudice di Pace in  materia  di risarcimento  danno,CAVAGNERO LIDIA sezione: 3 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,26/07/1995,,,,,,,,,
1995,77,77/1995 iscritto  al ruolo il 12/06/1995,OR - 140999 - Altri contratti tipici ed obbligazioni  non rientranti  nelle altre materie,MORBILLI  PAOLA  sezione: 7 aula: 3 - A21 BIS,"Euro 0,00",PROCEDIMENTO DEFINITO,26/09/1995,,,,,,,,,
1995,78,78/1995 iscritto al ruolo il 12/06/1995,OR - 709999 - Altri atti amministrativi,MURANTE  MICHELE sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,20/09/1995,,,,,,,,,
1995,79,79/1995 iscritto al ruolo il 12/06/1995,CO - 710001 - Istanza di  Conciliazione,NEGRI RITA sezione: 7 aula: 3 - A22,"Euro 0,00",CONCILIATO,13/07/1995,,,,,,,,,
1995,80,80/1995 iscritto al ruolo il 13/06/1995,OR - 709999 - Altri atti amministrativi,PERRICONE LUDOVICO sezione: 1 aula: -,"Euro 0,00",PROCEDIMENTO  DEFINITO,26/09/1995,,,,,,,,,
1995,81,81/1995 iscritto  al ruolo il 13/06/1995,OR - 140999 - Altri contratti tipici ed obbligazioni non rientranti  nelle  altre materie,PALASCIANO NORBERTO sezione: 7 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,16/10/1995,,,,,,,,,
1995,82,82/1995  iscritto  al ruolo il 13/06/1995,OR - 709999 - Altri atti amministrativi,PESATO  ADRIANO  sezione: 1 aula: 2 - B12,"Euro  0,00",PROCEDIMENTO DEFINITO,11/10/1995,,,,,,,,,
1995,83,83/1995 iscritto al ruolo il 13/06/1995,OR - 145009 - Azioni di competenza del Giudice di Pace in materia  di risarcimento  danno,CHIONO MARIA  LUISA sezione: 3 aula: 3 - C20,"Euro 0,00",PROCEDIMENTO DEFINITO,21/06/1995,53/1995 pubblicata il 02/10/1995,Sentenza di merito/Rigetto,,,,,,,
1995,84,84/1995  iscritto al ruolo il 13/06/1995,OR - 145009 - Azioni di competenza  del Giudice di Pace  in materia di  risarcimento  danno,MASSACESI FRANCO sezione: 4 aula: 2 - C13,"Euro  0,00",CANCELLATO,2/10/1995,,,,,,,,,
1995,85,85/1995 iscritto al ruolo il 13/06/1995,OR - 145009 - Azioni di competenza del Giudice di Pace in  materia di  risarcimento  danno,MAGGIO COSIMO sezione: 4 aula: -,"Euro 0,00",CANCELLATO,19/09/1995,,,,,,,,,
1995,86,86/1995 iscritto al  ruolo il 13/06/1995,OR - 145009 - Azioni di competenza del Giudice di Pace  in materia  di risarcimento  danno,MARTINOTTI PAOLO sezione: 4 aula: 2 - C11,"Euro 0,00",CANCELLATO,21/09/1995,,,,,,,,,
1995,87,87/1995 iscritto al ruolo il 15/06/1995,OR - 145009 - Azioni  di  competenza del Giudice di Pace  in materia  di risarcimento danno,MOLLO FRANCESCO sezione: 4 aula: 1 - D9,"Euro 0,00",PROCEDIMENTO DEFINITO,28/07/1995,432/1995 pubblicata il 07/12/1995,Sentenza di merito/Rigetto,,,,,,,
1995,88,88/1995 iscritto  al ruolo  il 15/06/1995,OR - 709999 - Altri atti amministrativi,PISANTI GENNARO sezione: 1 aula: PENALE,"Euro 0,00",PROCEDIMENTO  DEFINITO,21/09/1995,,,,,,,,,
1995,89,89/1995  iscritto al ruolo il 15/06/1995,OR - 145009 - Azioni di competenza del  Giudice di Pace  in materia di risarcimento danno,MONDINO PIER ODDONE sezione: 4 aula: 2 - C10,"Euro 0,00",PROCEDIMENTO DEFINITO,3/10/1995,395/1996 pubblicata il 05/03/1996,Sentenza di merito/Rigetto,,,,,,,
1995,90,90/1995 iscritto al  ruolo  il 15/06/1995,OR - 145009 - Azioni  di competenza  del Giudice di Pace  in  materia di  risarcimento danno,MONTALTO UGO  LUIGI sezione: 4 aula: -,"Euro 0,00",PROCEDIMENTO DEFINITO,3/10/1995,174/1995 pubblicata il 31/10/1995,Sentenza di merito/Rigetto,,,,,,,
1995,91,91/1995 iscritto al  ruolo  il 15/06/1995,OR - 709999 - Altri atti amministrativi,SILVESTRI VINCENZO sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,27/09/1995,,,,,,,,,
1995,92,92/1995 iscritto al ruolo  il 15/06/1995,OR - 709999 - Altri atti amministrativi,SILVESTRI VINCENZO sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO  DEFINITO,27/09/1995,,,,,,,,,
1995,93,93/1995 iscritto  al ruolo  il 16/06/1995,OR - 709999 - Altri atti amministrativi,TASSONE  RAFFAELE sezione: 1 aula: 2 - B12,"Euro 0,00",PROCEDIMENTO DEFINITO,19/09/1995,,,,,,,,,
1995,94,94/1995  iscritto al ruolo il 16/06/1995,OR - 139999 - Altri  istituti in materia  di diritti reali possesso  e trascrizioni,PESCAROLO LAURA  sezione: 7 aula: -,"Euro 0,00",CANCELLATO,4/10/1995,,,,,,,,,
1995,95,95/1995 iscritto al ruolo il 16/06/1995,OR - 709999 - Altri atti  amministrativi,VITALE GIOVAMBATTISTA sezione: 1 aula: 2 - B17,"Euro 0,00",PROCEDIMENTO  DEFINITO,18/09/1995,,,,,,,,,
1995,96,96/1995 iscritto al  ruolo il 16/06/1995,OR - 709999 - Altri atti amministrativi,AMENDOLA ENRICO sezione: 1 aula: 2 - B10,"Euro  0,00",PROCEDIMENTO DEFINITO,18/09/1995,,,,,,,,,
1995,97,97/1995 iscritto  al ruolo il 17/06/1995,OR - 145009 - Azioni di competenza del Giudice di Pace in materia  di  risarcimento  danno,ZUNINO  MARIA  IDA sezione: 5 aula: 1 - C4,"Euro  0,00",CANCELLATO,16/10/1995,,,,,,,,,
1995,98,98/1995 iscritto al ruolo  il 17/06/1995,OR - 140999 - Altri contratti tipici  ed obbligazioni  non rientranti nelle  altre materie,PAONE  PIETRO sezione: 7 aula: 3 - A20,"Euro 0,00",PROCEDIMENTO DEFINITO,27/06/1995,45/1995 pubblicata il 27/09/1995,Sentenza di merito/Rigetto,,,,,,,
1995,99,99/1995 iscritto  al ruolo il 17/06/1995,OR - 140999 - Altri contratti tipici  ed obbligazioni non  rientranti nelle altre materie,PATRIARCA GABRIELLA  sezione: 7,"Euro 0,00",PROCEDIMENTO DEFINITO,13/07/1995,,,,,,,,,
1995,100,100/1995 iscritto  al  ruolo  il 17/06/1995,OR - 145009 - Azioni di competenza del  Giudice di Pace in materia di risarcimento  danno,NASI OMEGNA ROBERTO sezione: 4 aula: -,"Euro  0,00",CANCELLATO,19/09/1995,,,,,,,,,
1995,101,101/1995 iscritto  al  ruolo il 17/06/1995,OR - 145009 - Azioni di  competenza del Giudice di Pace in materia di  risarcimento  danno,NICASTRO GIUSEPPE sezione: 4 aula: 2 - C16,"Euro  0,00",CANCELLATO,31/07/1995,,,,,,,,,
1995,102,102/1995 iscritto al  ruolo  il 19/06/1995,OR - 709999 - Altri atti amministrativi,BONELLI MATELDA sezione: 1 aula: 2 - B10,"Euro 0,00",PROCEDIMENTO  DEFINITO,27/09/1995,,,,,,,,,
1995,103,103/1995  iscritto al  ruolo il 20/06/1995,OR - 709999 - Altri  atti amministrativi,BRACCO  GIOVANNI  sezione: 2 aula: -,"Euro  0,00",PROCEDIMENTO DEFINITO,20/09/1995,,,,,,,,,
1995,104,104/1995 iscritto al ruolo il 20/06/1995,OR - 145009 - Azioni di competenza del Giudice di Pace in materia di risarcimento danno,GRENCI  SALVATORE sezione: 4 aula: 2 - C10,"Euro 0,00",CANCELLATO,28/06/1995,,,,,,,,,
1995,105,105/1995 iscritto al ruolo il 20/06/1995,OR - 145999 - Altre ipotesi di responsabilita' Extracontr. non ricomprese nelle altre materie (art. 2043),PICCHINI VIRGINIA  sezione: 7 aula: 1 - D6,"Euro 0,00",PROCEDIMENTO DEFINITO,19/07/1995,,,,,,,,,
1995,106,106/1995 iscritto al  ruolo il 20/06/1995,OR - 709999 - Altri atti  amministrativi,CATALDI  MARIANGELA sezione: 1 aula: 2 - B11,"Euro  0,00",PROCEDIMENTO DEFINITO,22/09/1995,,,,,,,,,
1995,107,107/1995  iscritto al ruolo il 20/06/1995,OR - 101003 - Opposizione di terzo  ex artt. 404 e ss. c.p.c.,RIGAZZI ERNESTO sezione: 7 aula: 3 - A20,"Euro 0,00",PROCEDIMENTO DEFINITO,31/07/1995,,,,,,,,,
